LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
4,7,2,3,3,12,4,0.22,6,2.0,3,0.75,16,1,0.0,15,0,1,0.25,23.96,10.38,2583.65,0.08,55,0.1,143.54,248.8,0.25,3,6,14,0.15,27,28,13,10,27,28.57,18,N
23,15,3,10,27,28,8,0.09,14,2.0,2,0.25,39,1,0.0,75,0,5,0.63,136.41,27.35,102014.82,1.24,542,0.04,5667.49,3730.39,0.13,7,14,33,0.06,268,274,98,20,137,33.04,85,N
1,3,0,0,0,4,2,0.22,2,2.0,1,0.5,6,1,0.0,9,2,2,1.0,12.01,14.62,2569.51,0.06,40,0.07,142.75,175.69,0.5,1,2,6,0.17,18,22,8,13,12,0.0,9,Y
26,31,7,9,21,60,16,0.18,30,2.0,2,0.13,83,1,0.0,78,0,7,0.44,85.18,35.77,109011.28,1.02,478,0.03,6056.18,3047.27,0.06,15,30,69,0.12,241,237,64,19,136,27.78,87,Y
6,15,0,0,7,28,8,0.33,14,2.0,1,0.13,31,3,0.29,24,1,8,1.0,20.68,26.5,14523.02,0.18,114,0.04,806.83,548.04,0.38,7,14,25,0.21,53,61,14,14,39,22.58,24,N
18,46,2,6,24,64,26,0.22,26,2.46,15,0.58,79,23,0.88,114,0,24,0.92,43.0,57.74,143350.9,0.83,395,0.02,7963.94,2482.73,0.88,19,33,55,0.16,166,229,46,32,164,20.83,120,Y
9,13,2,0,14,28,7,0.23,14,2.0,3,0.43,28,1,0.0,30,0,7,1.0,29.37,18.17,9701.95,0.18,99,0.06,539.0,533.84,0.14,7,14,23,0.13,44,55,23,19,55,31.82,30,N
3,5,0,2,7,8,3,0.1,4,2.0,1,0.33,10,1,0.0,28,2,3,1.0,21.41,27.56,16265.89,0.2,116,0.04,903.66,590.15,0.33,2,4,9,0.07,49,67,16,18,42,24.32,30,N
19,13,3,11,19,24,7,0.1,12,2.0,2,0.29,35,1,0.0,57,0,5,0.71,113.84,25.03,71345.69,0.95,439,0.04,3963.65,2849.92,0.14,6,12,30,0.06,215,224,73,17,108,34.48,68,N
5,3,3,7,3,4,2,0.08,2,2.0,2,1.0,10,1,0.0,18,0,1,0.5,69.2,12.83,11396.12,0.3,159,0.08,633.12,888.01,0.5,1,2,10,0.06,77,82,36,12,35,35.71,25,N
2,3,3,0,2,4,2,0.25,2,2.0,2,1.0,8,1,0.0,8,0,0,0.0,22.19,2.0,88.76,0.01,14,0.5,4.93,44.38,0.5,1,2,8,0.14,5,9,5,4,14,20.0,8,N
5,5,1,0,5,8,3,0.17,4,2.0,1,0.33,12,1,0.0,18,0,3,1.0,28.04,18.38,9467.23,0.17,105,0.05,525.96,515.22,0.33,2,4,11,0.1,42,63,16,14,30,21.74,18,N
3,9,0,0,2,16,5,0.5,8,2.0,1,0.2,21,1,0.0,10,3,4,0.8,19.92,14.32,4084.22,0.1,66,0.07,226.9,285.25,0.2,4,8,18,0.29,35,31,11,9,17,16.67,10,Y
1,5,1,0,0,8,3,0.5,4,2.0,1,0.33,10,1,0.0,6,1,1,0.33,10.29,11.92,1461.27,0.04,30,0.08,81.18,122.62,0.33,2,4,9,0.33,13,17,6,11,9,0.0,6,N
6,15,1,0,2,26,8,0.26,12,2.17,2,0.25,32,3,0.29,31,2,4,0.5,33.62,28.08,26512.3,0.31,174,0.04,1472.91,944.17,0.38,7,13,26,0.2,78,96,25,18,41,6.06,31,N
5,3,0,0,3,4,2,0.29,2,2.0,1,0.5,6,1,0.0,7,0,2,1.0,25.78,4.5,522.0,0.04,29,0.22,29.0,116.0,0.5,1,2,6,0.12,15,14,10,6,17,30.0,7,N
0,3,1,0,0,4,2,0.15,2,2.0,2,1.0,7,1,0.0,13,3,2,1.0,12.55,12.86,2075.42,0.05,38,0.08,115.3,161.42,0.5,1,2,7,0.13,15,23,7,12,16,0.0,13,N
9,17,1,0,10,32,9,0.21,16,2.0,2,0.22,38,6,0.63,42,0,9,1.0,11.27,102.9,119290.11,0.39,234,0.01,6627.23,1159.28,0.67,8,16,31,0.14,98,136,10,21,63,19.23,42,Y
1,7,1,0,0,12,4,0.44,6,2.0,2,0.5,16,1,0.0,9,1,2,0.5,9.94,20.43,4149.67,0.07,47,0.05,230.54,203.13,0.25,3,6,14,0.33,22,25,7,13,12,0.0,9,N
8,7,1,0,6,12,4,0.21,6,2.0,2,0.5,16,1,0.0,19,0,4,1.0,33.72,13.7,6324.89,0.15,88,0.07,351.38,461.82,0.25,3,6,14,0.11,42,46,23,15,35,24.0,19,N
1,5,1,0,0,8,3,0.27,4,2.0,1,0.33,11,1,0.0,11,2,3,1.0,15.38,17.82,4881.96,0.09,59,0.06,271.22,273.99,0.33,2,4,10,0.21,28,31,11,14,14,0.0,11,Y
13,13,4,2,13,24,7,0.17,12,2.0,2,0.29,29,4,0.5,39,0,0,0.0,42.89,24.48,25705.69,0.35,187,0.04,1428.09,1049.95,0.57,6,12,24,0.1,71,116,29,20,69,27.78,41,N
24,51,3,11,21,82,26,0.28,32,2.56,2,0.08,91,13,0.48,82,0,8,0.31,93.16,39.49,145307.86,1.23,555,0.03,8072.66,3679.29,0.5,25,41,67,0.19,261,294,76,23,140,28.07,93,N
0,3,0,0,0,4,2,0.67,2,2.0,1,0.5,5,1,0.0,3,2,2,1.0,6.18,5.0,154.4,0.01,11,0.2,8.58,30.88,0.5,1,2,5,0.4,4,7,2,5,5,0.0,3,N
1,5,1,0,0,8,3,0.3,4,2.0,2,0.67,12,1,0.0,10,0,3,1.0,16.87,13.59,3115.69,0.08,50,0.07,173.09,229.25,0.33,2,4,11,0.23,23,27,11,13,13,0.0,10,N
24,24,0,3,17,12,20,0.21,6,2.0,1,0.05,49,1,0.0,91,1,20,1.0,65.56,23.68,36775.64,0.52,241,0.04,2043.09,1552.75,0.05,3,6,31,0.15,90,151,57,30,137,18.02,94,N
1,19,1,0,0,36,10,0.36,18,2.0,4,0.4,41,1,0.0,28,2,4,0.4,14.36,37.09,19752.67,0.18,112,0.03,1097.37,532.55,0.1,9,18,33,0.32,51,61,11,16,31,0.0,28,N
22,38,9,2,61,66,20,0.16,32,2.06,10,0.5,127,13,0.63,124,1,11,0.55,59.36,88.78,467827.72,1.76,820,0.01,25990.43,5269.54,0.65,17,33,109,0.09,388,432,59,27,211,33.69,126,Y
13,11,0,0,2,20,6,0.35,10,2.0,1,0.17,22,1,0.0,17,1,5,0.83,10.59,29.0,8908.58,0.1,67,0.03,494.92,307.19,0.17,5,10,18,0.18,29,38,8,16,34,10.53,17,N
13,58,8,15,12,80,32,0.24,30,2.67,21,0.66,105,20,0.61,120,0,27,0.84,49.52,51.79,132801.57,0.85,408,0.02,7377.86,2564.44,0.63,25,40,75,0.2,175,233,49,29,162,18.37,135,Y
14,5,9,4,16,8,3,0.09,4,2.0,1,0.33,23,1,0.0,31,0,3,1.0,97.33,7.63,5668.74,0.25,133,0.13,314.93,742.8,0.33,2,4,22,0.04,58,75,38,10,67,39.22,35,N
5,3,0,0,3,4,2,0.29,2,2.0,1,0.5,6,1,0.0,7,0,2,1.0,26.67,4.5,540.0,0.04,30,0.22,30.0,120.0,0.5,1,2,6,0.12,15,15,10,6,17,30.0,7,N
1,21,4,0,0,36,11,0.39,16,2.25,7,0.64,40,9,0.8,28,1,11,1.0,22.35,34.53,26650.95,0.26,153,0.03,1480.61,771.79,0.82,10,18,31,0.35,65,88,16,17,31,0.0,28,N
1,9,0,0,0,16,5,0.22,8,2.0,1,0.2,21,1,0.0,23,2,5,1.0,37.04,20.74,15931.15,0.26,151,0.05,885.06,768.21,0.2,4,8,18,0.19,67,84,21,13,26,0.0,23,N
17,27,3,3,18,44,14,0.17,18,2.44,6,0.43,51,9,0.62,79,0,14,1.0,57.29,46.22,122395.16,0.88,435,0.02,6799.73,2648.05,0.64,13,22,39,0.12,159,276,43,25,119,21.0,82,N
0,3,0,0,0,4,2,1.0,2,2.0,1,0.5,5,1,0.0,2,0,0,0.0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,0.5,1,2,5,0.5,1,3,1,3,4,0.0,2,N
45,61,3,2,68,106,31,0.19,46,2.3,3,0.1,127,20,0.63,160,0,28,0.9,61.68,64.5,256623.54,1.33,633,0.02,14256.86,3978.66,0.65,30,53,98,0.11,258,375,52,26,277,30.43,162,Y
5,3,0,0,3,4,2,0.29,2,2.0,1,0.5,6,1,0.0,7,0,2,1.0,26.67,4.2,470.4,0.04,28,0.24,26.13,112.0,0.5,1,2,6,0.12,14,14,10,6,17,30.0,7,N
2,7,0,2,0,12,4,0.18,6,2.0,1,0.25,14,1,0.0,20,0,2,0.5,17.76,19.62,6833.79,0.12,71,0.05,379.65,348.39,0.25,3,6,12,0.15,30,41,13,17,26,9.09,22,N
6,7,7,2,6,12,4,0.07,6,2.0,4,1.0,31,1,0.0,55,2,4,1.0,59.86,19.78,23415.51,0.39,224,0.05,1300.86,1183.93,0.25,3,6,29,0.06,89,135,27,12,71,12.7,57,N
60,115,9,19,98,216,58,0.19,102,2.12,16,0.28,247,39,0.67,287,0,46,0.79,107.39,96.09,991629.56,3.44,1479,0.01,55090.53,10319.4,0.67,57,108,191,0.12,615,864,96,30,466,28.96,306,Y
11,9,3,0,12,16,5,0.17,8,2.0,2,0.4,20,3,0.5,29,0,0,0.0,33.09,17.76,10439.17,0.2,109,0.06,579.95,587.76,0.6,4,8,17,0.09,43,66,23,19,54,29.27,29,N
1,5,1,0,0,8,3,0.25,4,2.0,1,0.33,11,1,0.0,12,3,3,1.0,15.48,36.25,20339.03,0.19,118,0.03,1129.95,561.08,0.33,2,4,10,0.2,58,60,12,15,15,0.0,12,Y
1,3,0,0,2,4,2,0.29,2,2.0,1,0.5,6,1,0.0,7,2,2,1.0,10.42,8.25,709.1,0.03,22,0.12,39.39,85.95,0.5,1,2,6,0.17,11,11,6,9,12,22.22,7,N
4,13,3,0,3,24,7,0.2,12,2.0,7,1.0,33,6,0.83,35,2,7,1.0,34.45,12.83,5673.31,0.15,91,0.08,315.18,442.08,0.86,6,12,28,0.16,42,49,18,11,44,7.89,35,N
1,3,0,0,1,4,2,0.67,2,2.0,1,0.5,6,1,0.0,3,2,2,1.0,8.3,6.0,298.97,0.02,15,0.17,16.61,49.83,0.5,1,2,6,0.29,8,7,4,6,7,25.0,3,N
7,25,2,0,18,44,13,0.27,20,2.2,3,0.23,55,6,0.42,48,1,8,0.62,39.18,58.48,133998.62,0.76,400,0.02,7444.37,2291.17,0.46,12,22,44,0.17,193,207,33,20,75,27.27,48,Y
24,19,3,0,27,34,10,0.1,16,2.13,3,0.3,49,1,0.0,104,0,8,0.8,45.63,55.2,139045.04,0.84,430,0.02,7724.72,2518.93,0.1,9,17,41,0.06,168,262,35,23,157,20.61,104,Y
6,5,1,4,3,8,3,0.2,4,2.0,1,0.33,11,1,0.0,11,1,3,1.0,19.66,14.3,4019.85,0.09,64,0.07,223.32,281.11,0.33,2,4,10,0.12,26,38,10,11,26,38.89,15,N
10,13,5,6,10,22,7,0.12,10,2.2,1,0.14,48,5,0.67,51,0,5,0.71,92.21,26.26,63590.46,0.81,373,0.04,3532.8,2421.46,0.71,6,11,43,0.09,153,220,67,23,79,23.88,57,Y
0,3,0,0,0,4,2,0.4,2,2.0,1,0.5,6,1,0.0,5,0,2,1.0,13.95,2.5,87.17,0.01,11,0.4,4.84,34.87,0.5,1,2,6,0.29,4,7,4,5,7,0.0,5,N
1,21,5,0,0,36,11,0.39,16,2.25,7,0.64,40,9,0.8,28,1,11,1.0,25.13,31.64,25154.15,0.27,155,0.03,1397.45,795.04,0.82,10,18,31,0.35,67,88,18,17,31,0.0,28,N
12,11,3,0,15,20,6,0.26,10,2.0,2,0.33,25,3,0.4,23,0,3,0.5,31.56,17.2,9336.88,0.18,105,0.06,518.72,542.84,0.5,5,10,21,0.12,43,62,20,16,52,39.47,23,N
35,97,3,0,51,168,49,0.18,72,2.33,8,0.16,210,34,0.69,265,0,42,0.86,54.71,125.67,864010.77,2.29,1118,0.01,48000.6,6875.42,0.69,48,86,163,0.14,435,683,45,26,353,16.14,265,Y
0,3,1,0,0,4,2,0.4,2,2.0,2,1.0,6,1,0.0,5,1,1,0.5,12.25,4.8,282.29,0.02,17,0.21,15.68,58.81,0.5,1,2,6,0.29,8,9,5,6,7,0.0,5,N
5,5,1,0,6,8,3,0.25,4,2.0,2,0.67,11,3,1.0,12,1,3,1.0,28.47,8.75,2179.83,0.08,53,0.11,121.1,249.12,1.0,2,4,10,0.09,15,38,12,14,32,33.33,12,Y
7,3,4,1,6,4,2,0.09,2,2.0,2,1.0,10,1,0.0,22,0,2,1.0,44.5,21.58,20724.8,0.32,183,0.05,1151.38,960.37,0.5,1,2,10,0.05,83,100,25,13,38,24.14,23,N
11,15,3,8,21,28,8,0.14,14,2.0,5,0.63,41,1,0.0,49,1,2,0.25,29.04,65.22,123506.5,0.63,349,0.02,6861.47,1893.77,0.13,7,14,35,0.09,150,199,23,20,91,37.18,57,Y
1,9,3,0,0,16,5,0.19,8,2.0,4,0.8,22,5,1.0,27,0,4,0.8,29.15,10.71,3341.46,0.1,63,0.09,185.64,312.11,1.0,4,8,19,0.17,26,37,17,14,30,0.0,27,Y
7,15,2,0,9,26,8,0.27,12,2.17,3,0.38,32,1,0.0,30,1,5,0.63,25.01,30.0,22511.76,0.25,141,0.03,1250.65,750.39,0.13,7,13,26,0.17,60,81,20,20,48,23.08,30,Y
5,5,2,0,4,8,3,0.43,4,2.0,2,0.67,13,1,0.0,7,2,3,1.0,20.57,8.17,1372.0,0.06,42,0.12,76.22,168.0,0.33,2,4,12,0.18,21,21,9,7,17,36.36,7,Y
15,21,5,0,16,40,11,0.15,20,2.0,9,0.82,50,4,0.3,74,0,9,0.82,52.32,34.5,62277.28,0.6,302,0.03,3459.85,1805.14,0.36,10,20,41,0.1,120,182,40,23,107,17.78,74,N
17,7,2,16,32,12,4,0.05,6,2.0,1,0.25,27,1,0.0,68,0,4,1.0,73.69,37.76,105042.17,0.93,471,0.03,5835.68,2782.15,0.25,3,6,25,0.03,191,280,43,17,135,41.38,84,N
2,3,0,0,0,4,2,0.25,2,2.0,1,0.5,7,1,0.0,8,0,2,1.0,17.27,7.29,916.65,0.04,34,0.14,50.93,125.81,0.5,1,2,7,0.17,17,17,7,6,12,0.0,8,N
2,7,0,7,0,12,4,0.1,6,2.0,1,0.25,15,1,0.0,35,0,3,0.75,68.55,21.0,30230.73,0.48,249,0.05,1679.48,1439.56,0.25,3,6,13,0.09,123,126,41,14,46,16.67,42,N
7,15,0,0,8,26,8,0.26,12,2.17,1,0.13,26,4,0.43,31,0,8,1.0,23.89,26.39,16634.07,0.21,121,0.04,924.12,630.34,0.5,7,13,20,0.17,50,71,18,19,48,20.51,31,N
10,9,3,0,11,16,5,0.26,8,2.0,2,0.4,20,3,0.5,19,0,0,0.0,28.47,15.06,6456.82,0.14,85,0.07,358.71,428.77,0.6,4,8,17,0.12,32,53,17,16,42,36.67,19,N
16,13,3,11,18,24,7,0.11,12,2.0,2,0.29,35,1,0.0,53,0,5,0.71,104.87,24.88,64889.48,0.87,407,0.04,3604.97,2608.62,0.14,6,12,30,0.07,199,208,68,17,100,35.37,64,N
5,5,0,0,7,8,3,0.21,4,2.0,1,0.33,9,1,0.0,14,2,1,0.33,15.99,6.67,710.71,0.04,28,0.15,39.48,106.61,0.33,2,4,8,0.11,10,18,6,8,28,33.33,14,Y
1,3,0,0,1,4,2,0.67,2,2.0,1,0.5,6,1,0.0,3,3,2,1.0,10.89,5.4,317.58,0.02,17,0.19,17.64,58.81,0.5,1,2,6,0.29,9,8,5,6,7,25.0,3,N
5,25,2,0,24,42,13,0.22,18,2.33,5,0.38,52,8,0.58,60,2,13,1.0,18.77,90.0,152013.39,0.56,332,0.01,8445.19,1689.04,0.62,12,21,41,0.14,160,172,16,18,91,28.57,60,Y
8,11,2,0,6,20,6,0.32,10,2.0,2,0.33,31,1,0.0,19,1,6,1.0,34.67,15.0,7800.0,0.17,104,0.07,433.33,520.0,0.17,5,10,27,0.17,50,54,20,12,35,24.0,19,Y
23,9,2,0,11,16,5,0.16,8,2.0,3,0.6,18,3,0.5,31,0,4,0.8,33.42,21.5,15450.32,0.24,139,0.05,858.35,718.62,0.6,4,8,15,0.06,43,96,18,18,85,26.19,31,Y
1,13,0,6,0,24,7,0.3,12,2.0,1,0.14,28,1,0.0,17,2,4,0.57,14.31,38.64,21359.95,0.18,115,0.03,1186.66,552.85,0.14,6,12,23,0.27,50,65,11,17,26,26.09,23,N
0,3,0,0,0,4,2,0.15,2,2.0,1,0.5,6,1,0.0,13,2,2,1.0,19.72,10.5,2174.18,0.07,53,0.1,120.79,207.07,0.5,1,2,6,0.13,24,29,8,7,15,0.0,13,N
16,19,0,0,22,30,10,0.2,12,2.5,1,0.1,31,7,0.67,50,0,7,0.7,21.17,41.36,36223.29,0.29,191,0.02,2012.4,875.73,0.7,9,15,23,0.11,70,121,11,13,90,30.56,50,N
14,24,8,0,14,30,15,0.25,14,2.14,9,0.6,49,3,0.14,59,0,9,0.6,46.74,21.17,20950.15,0.33,162,0.05,1163.9,989.58,0.2,8,15,36,0.17,62,100,41,28,89,19.18,59,Y
5,5,0,0,28,8,3,0.25,4,2.0,1,0.33,9,1,0.0,12,0,0,0.0,37.29,9.0,3020.28,0.11,79,0.11,167.79,335.59,0.33,2,4,8,0.06,20,59,10,9,47,70.0,12,N
8,23,3,0,14,36,12,0.38,14,2.57,5,0.42,40,6,0.45,32,0,10,0.83,39.63,24.05,22915.89,0.32,168,0.04,1273.1,952.97,0.5,11,18,30,0.21,81,87,32,19,56,30.43,32,Y
17,45,2,5,44,86,23,0.37,42,2.05,2,0.09,97,5,0.18,57,2,9,0.39,26.44,78.12,161381.25,0.69,374,0.01,8965.62,2065.81,0.22,22,43,76,0.18,186,188,25,21,125,46.23,62,Y
8,27,1,0,20,52,14,0.36,26,2.0,4,0.29,68,1,0.0,39,5,11,0.79,32.18,40.48,52735.32,0.43,254,0.02,2929.74,1302.84,0.07,13,26,56,0.2,137,117,22,13,69,33.9,39,Y
1,3,1,1,0,4,2,0.15,2,2.0,1,0.5,7,1,0.0,12,0,2,1.0,15.45,7.14,788.3,0.04,27,0.14,43.79,110.36,0.5,1,2,7,0.13,10,17,7,10,16,7.69,13,N
24,12,0,2,28,16,7,0.15,8,2.0,1,0.14,19,1,0.0,46,0,5,0.71,28.27,37.3,39335.04,0.35,192,0.03,2185.28,1054.44,0.14,4,8,14,0.06,78,114,23,22,116,39.47,48,N
30,69,17,4,52,118,35,0.27,54,2.19,18,0.51,152,17,0.47,125,0,25,0.71,84.68,27.62,64595.11,0.78,363,0.04,3588.62,2338.79,0.49,32,59,119,0.16,145,218,63,24,213,30.94,129,N
1,7,1,0,0,10,4,0.57,4,2.5,2,0.5,12,3,0.67,7,1,3,0.75,10.97,13.0,1854.11,0.05,33,0.08,103.01,142.62,0.75,3,5,10,0.4,14,19,7,13,10,0.0,7,N
6,13,4,4,4,24,7,0.15,12,2.0,3,0.43,37,1,0.0,43,1,1,0.14,43.96,48.0,101286.83,0.7,372,0.02,5627.05,2110.14,0.14,6,12,32,0.12,176,196,33,18,59,15.69,47,N
4,7,0,0,2,12,4,0.33,6,2.0,1,0.25,14,3,0.67,12,1,2,0.5,17.23,21.0,7600.61,0.12,77,0.05,422.26,361.93,0.75,3,6,12,0.2,36,41,12,14,20,14.29,12,Y
105,125,16,19,123,202,63,0.26,78,2.59,9,0.14,223,36,0.56,225,0,61,0.97,88.2,93.2,766179.74,2.74,1217,0.01,42565.54,8220.7,0.57,62,101,162,0.13,463,754,77,31,474,38.69,244,Y
47,41,18,9,68,54,24,0.22,22,2.45,14,0.58,94,8,0.3,100,0,21,0.88,75.13,27.46,56640.44,0.69,321,0.04,3146.69,2062.83,0.33,16,27,72,0.1,120,201,59,27,242,43.5,109,N
29,69,0,0,37,112,35,0.21,44,2.55,1,0.03,113,26,0.74,163,0,25,0.71,50.5,87.12,383277.96,1.47,751,0.01,21293.22,4399.34,0.74,34,56,80,0.15,307,444,37,21,231,18.5,163,N
14,13,3,3,17,24,7,0.1,12,2.0,5,0.71,30,1,0.0,66,0,7,1.0,49.82,40.86,83172.01,0.68,349,0.02,4620.67,2035.68,0.14,6,12,25,0.07,130,219,35,22,102,23.26,69,N
0,5,0,0,0,8,3,0.75,4,2.0,1,0.33,9,1,0.0,4,1,3,1.0,8.14,8.17,542.58,0.02,20,0.12,30.14,66.44,0.33,2,4,8,0.5,7,13,3,7,6,0.0,4,N
10,13,2,0,11,24,7,0.29,12,2.0,1,0.14,26,5,0.67,24,0,0,0.0,32.5,17.19,9606.08,0.19,105,0.06,533.67,558.8,0.71,6,12,21,0.15,38,67,21,19,47,31.43,24,Y
4,5,1,0,2,6,3,0.17,2,3.0,2,0.67,10,3,1.0,18,1,3,1.0,19.51,15.71,4814.52,0.1,66,0.06,267.47,306.49,1.0,2,3,9,0.12,29,37,12,13,26,10.0,18,N
0,3,0,0,1,4,2,0.18,2,2.0,1,0.5,6,1,0.0,11,1,2,1.0,16.29,7.56,931.62,0.04,29,0.13,51.76,123.19,0.5,1,2,6,0.14,11,18,8,11,14,8.33,11,N
50,89,8,12,75,156,45,0.21,68,2.29,15,0.33,181,30,0.66,205,0,43,0.96,106.02,67.9,488861.64,2.4,1037,0.01,27158.98,7199.39,0.67,44,78,138,0.13,421,616,93,30,344,29.79,217,Y
12,7,0,0,16,12,4,0.1,6,2.0,1,0.25,16,1,0.0,39,2,4,1.0,18.17,33.73,20674.45,0.2,132,0.03,1148.58,612.99,0.25,3,6,14,0.06,53,79,11,14,69,29.09,39,N
6,5,1,4,5,8,3,0.2,4,2.0,2,0.67,11,1,0.0,11,2,3,1.0,24.87,11.46,3265.45,0.09,63,0.09,181.41,284.98,0.33,2,4,10,0.1,25,38,12,11,29,45.0,15,N
4,9,0,0,4,16,5,0.19,8,2.0,1,0.2,15,1,0.0,26,1,5,1.0,17.62,26.67,12532.75,0.16,107,0.04,696.26,469.98,0.2,4,8,12,0.14,40,67,9,12,36,13.33,26,N
0,5,0,0,0,8,3,0.5,4,2.0,1,0.33,11,1,0.0,6,2,3,1.0,12.29,9.33,1070.66,0.04,31,0.11,59.48,114.71,0.33,2,4,10,0.38,16,15,6,7,8,0.0,6,N
2,3,0,0,1,4,2,0.29,2,2.0,1,0.5,6,1,0.0,7,0,2,1.0,12.09,6.3,479.73,0.03,20,0.16,26.65,76.15,0.5,1,2,6,0.17,7,13,5,9,12,12.5,7,N
0,3,0,0,1,4,2,0.18,2,2.0,1,0.5,6,1,0.0,11,1,2,1.0,16.94,8.13,1118.06,0.05,33,0.12,62.11,137.61,0.5,1,2,6,0.14,13,20,8,10,14,8.33,11,N
6,9,2,6,4,4,7,0.11,2,2.0,4,0.57,22,1,0.0,57,1,7,1.0,51.55,33.0,56139.09,0.57,288,0.03,3118.84,1701.18,0.14,1,2,17,0.09,132,156,40,20,75,14.93,63,N
3,9,0,0,4,14,5,0.28,6,2.33,1,0.2,16,1,0.0,18,0,5,1.0,17.99,13.0,3039.83,0.08,51,0.08,168.88,233.83,0.2,4,7,13,0.19,22,29,11,13,27,18.18,18,N
