LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
4,7,3,2,4,12,4,0.2,6,4,1,17,1,0,18,0,0,0,32.35,20.43,13494.29,0.22,125,0.05,749.68,660.68,0,3,6,15,0.13,43,82,20,19,31,25.0,20,N
0,1,0,0,0,0,1,0.14,0,1,1,1,1,0,7,3,1,1,27.97,6.95,1352.57,0.06,45,0.14,75.14,194.49,1,0,0,2,0.08,17,28,11,9,13,0.0,7,N
6,1,0,0,0,0,1,0.14,0,1,1,1,1,0,7,0,0,0,44.81,2.0,179.25,0.03,25,0.5,9.96,89.62,1,0,0,2,0.07,12,13,9,3,15,0.0,7,N
15,7,2,0,77,12,4,0.09,6,4,1,23,1,0,44,0,0,0,21.39,79.89,136544.83,0.57,319,0.01,7585.82,1709.06,0,3,6,21,0.03,138,181,19,22,138,63.64,44,N
0,1,2,0,0,0,1,0.2,0,1,1,3,1,0,5,1,0,0,15.11,6.3,599.66,0.03,25,0.16,33.31,95.18,1,0,0,4,0.14,7,18,5,9,7,0.0,5,N
3,3,1,0,9,4,2,0.4,2,1,0,7,1,0,5,0,0,0,14.41,3.6,186.81,0.02,15,0.28,10.38,51.89,0,1,2,7,0.11,6,9,5,6,19,64.29,5,N
2,3,1,1,6,4,2,0.17,2,2,1,5,1,0,11,0,0,0,17.84,14.0,3496.19,0.08,56,0.07,194.23,249.73,0,1,2,5,0.09,16,40,8,14,22,38.89,12,N
0,1,1,0,0,0,1,1.0,0,1,1,2,1,0,0,0,1,1,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1,0,0,3,1.0,1,6,1,6,1,0.0,0,N
1,1,2,0,2,0,1,0.25,0,1,1,3,1,0,4,0,1,1,23.44,3.33,260.45,0.03,20,0.3,14.47,78.14,1,0,0,4,0.1,10,10,9,6,10,33.33,4,N
0,3,2,0,0,4,2,0.18,2,2,1,14,1,0,11,0,0,0,36.01,9.96,3573.4,0.12,83,0.1,198.52,358.72,0,1,2,14,0.15,37,46,13,7,13,0.0,11,N
17,7,5,0,21,12,4,0.09,6,4,1,27,1,0,44,0,4,1,33.53,50.43,85301.8,0.56,320,0.02,4738.99,1691.33,0,3,6,25,0.05,145,175,23,16,84,32.31,44,N
2,3,0,0,0,4,2,0.29,2,1,0,6,1,0,7,3,0,0,14.12,9.63,1308.36,0.05,32,0.1,72.69,135.93,0,1,2,6,0.18,14,18,8,11,11,0.0,7,N
2,3,1,0,0,4,2,0.14,2,1,0,6,1,0,14,1,2,1,12.34,17.5,3780.0,0.07,54,0.06,210.0,216.0,0,1,2,6,0.11,21,33,6,10,18,0.0,14,N
10,21,15,5,16,38,11,0.26,18,10,0,66,11,1,38,0,0,0,62.0,25.21,39410.78,0.52,283,0.04,2189.49,1563.17,1,10,19,57,0.15,128,155,33,13,71,35.59,43,N
14,9,7,8,7,16,5,0.19,8,4,0,22,1,0,19,0,3,0,55.28,6.0,1990.24,0.11,69,0.17,110.57,331.71,0,4,8,19,0.1,30,39,20,8,50,44.12,27,N
5,8,2,10,3,4,6,0.16,2,4,0,23,1,0,27,0,0,0,22.46,39.38,34814.92,0.29,161,0.03,1934.16,884.19,0,1,2,19,0.13,63,98,20,25,47,32.5,37,N
4,7,3,2,4,12,4,0.2,6,4,1,17,1,0,18,0,4,1,32.35,20.43,13494.29,0.22,125,0.05,749.68,660.68,0,3,6,15,0.13,43,82,20,19,31,25.0,20,N
0,1,0,0,0,0,1,0.25,0,1,1,1,1,0,4,1,0,0,8.0,4.5,162.0,0.01,12,0.22,9.0,36.0,1,0,0,2,0.17,3,9,2,6,6,0.0,4,N
1,5,2,5,0,8,3,0.3,4,2,0,10,1,0,5,0,0,0,15.65,4.2,276.06,0.02,19,0.24,15.34,65.73,0,2,4,9,0.23,7,12,5,6,13,50.0,10,Y
0,1,1,0,0,0,1,0.2,0,1,1,2,1,0,5,9,1,1,37.11,4.27,675.52,0.05,35,0.23,37.53,158.32,1,0,0,3,0.03,16,19,15,8,32,0.0,5,N
4,7,3,0,3,10,4,0.4,4,3,0,14,4,1,10,0,0,0,26.1,9.43,2320.6,0.08,53,0.11,128.91,246.12,1,3,5,12,0.21,24,29,14,11,19,23.08,10,N
0,5,1,0,0,6,3,0.38,2,2,0,8,3,1,8,0,3,1,17.48,7.78,1057.26,0.05,32,0.13,58.74,135.93,1,2,3,7,0.3,14,18,9,10,10,0.0,8,N
5,17,10,6,4,32,9,0.23,16,9,1,50,5,0,34,0,0,0,74.55,14.83,16403.02,0.37,198,0.07,911.28,1105.82,0,8,16,43,0.18,89,109,36,12,51,22.73,40,N
3,3,3,0,1,8,2,0.2,4,2,1,7,1,0,10,0,0,0,22.56,10.29,2389.65,0.08,50,0.1,132.76,232.19,0,2,4,7,0.13,19,31,12,13,16,9.09,10,N
1,5,2,5,0,8,3,0.3,4,2,0,10,1,0,5,0,2,0,15.65,4.2,276.06,0.02,19,0.24,15.34,65.73,0,2,4,9,0.23,7,12,5,6,13,50.0,10,N
5,9,2,0,1,16,5,0.23,8,2,0,19,1,0,22,0,0,0,15.64,22.56,7958.45,0.12,78,0.04,442.14,352.84,0,4,8,16,0.17,29,49,9,14,30,4.35,22,N
38,11,0,19,12,20,1,0.01,10,1,1,38,1,0,71,0,0,0,42.96,127.76,701291.3,1.83,937,0.01,38960.63,5488.93,1,5,10,34,0.01,362,575,34,24,144,30.39,90,N
1,7,0,0,2,12,1,0.05,6,1,1,18,1,0,19,0,1,1,26.29,17.5,8052.16,0.15,89,0.06,447.34,460.12,1,3,6,16,0.04,35,54,18,18,25,9.52,19,N
3,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1,0,0,3,0.14,2,4,2,4,7,0.0,2,N
0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,1,0,0,11.39,3.5,139.52,0.01,12,0.29,7.75,39.86,1,0,0,2,0.25,3,9,3,7,4,0.0,2,N
15,7,2,0,77,12,4,0.09,6,4,1,23,1,0,44,0,4,1,21.39,79.89,136544.83,0.57,319,0.01,7585.82,1709.06,0,3,6,21,0.03,138,181,19,22,138,63.64,44,N
6,7,3,0,0,12,4,0.4,6,3,0,16,1,0,10,0,0,0,19.27,13.82,3679.42,0.09,56,0.07,204.41,266.27,0,3,6,14,0.22,19,37,11,16,18,0.0,10,N
0,5,0,0,2,6,3,0.6,2,1,0,7,3,1,5,0,3,1,12.6,6.67,560.0,0.03,21,0.15,31.11,84.0,1,2,3,6,0.33,8,13,6,10,9,28.57,5,N
3,5,2,0,3,8,3,0.16,4,3,1,13,1,0,19,0,3,1,18.24,22.91,9574.79,0.14,90,0.04,531.93,417.95,0,2,4,12,0.11,36,54,11,14,27,13.64,19,N
1,3,1,3,0,4,2,0.33,2,2,1,5,1,0,3,1,2,1,11.56,6.4,473.66,0.02,20,0.16,26.31,74.01,0,1,2,5,0.22,8,12,5,8,9,50.0,6,N
3,1,0,0,3,0,1,0.13,0,1,1,1,1,0,8,0,0,0,31.35,9.97,3114.36,0.1,65,0.1,173.02,312.48,1,0,0,2,0.06,23,42,15,13,18,27.27,8,N
19,13,1,4,16,24,7,0.16,12,2,0,34,1,0,40,0,3,0,36.91,36.02,47887.35,0.44,245,0.03,2660.41,1329.43,0,6,12,29,0.08,91,154,24,19,85,33.33,44,N
0,3,2,0,1,4,2,0.14,2,1,0,7,1,0,14,1,2,1,14.94,18.33,5020.77,0.09,67,0.05,278.93,273.86,0,1,2,7,0.12,20,47,6,11,17,6.67,14,N
10,21,15,5,16,38,11,0.26,18,10,0,66,11,1,38,0,9,0,62.0,25.21,39410.78,0.52,283,0.04,2189.49,1563.17,1,10,19,57,0.15,128,155,33,13,71,35.59,43,N
9,27,6,2,18,24,20,0.23,12,17,0,60,1,0,86,0,19,0,66.26,43.5,125383.65,0.96,444,0.02,6965.76,2882.38,0,6,12,42,0.17,183,261,61,29,117,18.87,88,N
2,3,0,0,0,4,2,0.22,2,1,0,6,1,0,9,0,0,0,8.51,8.0,544.91,0.02,19,0.13,30.27,68.11,0,1,2,6,0.15,8,11,4,8,13,0.0,9,N
25,31,6,0,30,60,16,0.21,26,14,0,62,15,0,77,0,15,0,39.82,60.83,147362.04,0.81,419,0.02,8186.78,2422.39,0,17,30,48,0.12,146,273,30,25,134,28.04,77,N
0,3,1,0,1,4,2,0.67,2,2,1,5,1,0,3,0,2,1,8.1,3.33,90.0,0.01,9,0.3,5.0,27.0,0,1,2,5,0.33,4,5,3,5,6,25.0,3,N
3,5,3,9,0,8,3,0.18,4,3,1,13,1,0,8,0,0,0,31.33,6.0,1128.0,0.06,47,0.17,62.67,188.0,0,2,4,12,0.14,20,27,10,6,22,52.94,17,N
2,3,0,0,0,4,2,0.29,2,1,0,6,1,0,7,1,2,1,9.87,8.1,647.63,0.03,21,0.12,35.98,79.95,0,1,2,6,0.18,9,12,5,9,11,0.0,7,N
15,1,10,9,4,0,1,0.08,0,1,1,11,1,0,4,0,1,1,75.81,2.65,531.2,0.07,45,0.38,29.51,200.67,1,0,0,12,0.03,18,27,17,5,34,76.47,13,N
8,27,5,0,0,52,14,0.35,26,8,0,62,1,0,40,0,3,0,43.33,25.77,28780.5,0.37,216,0.04,1598.92,1116.7,0,13,26,50,0.28,81,135,22,14,50,0.0,40,N
33,9,2,0,0,12,5,0.23,4,1,0,19,5,1,22,0,1,0,20.3,25.14,12830.82,0.17,104,0.04,712.82,510.32,1,4,6,16,0.09,44,60,14,16,58,0.0,22,N
2,3,0,0,1,4,2,0.29,2,1,0,6,1,0,7,3,2,1,16.97,9.17,1426.24,0.05,36,0.11,79.24,155.59,0,1,2,6,0.17,15,21,9,11,12,12.5,7,N
2,3,1,0,0,4,2,0.12,2,2,1,5,1,0,17,6,2,1,39.15,16.88,11148.9,0.22,125,0.06,619.38,660.68,0,1,2,5,0.07,54,71,24,15,28,0.0,17,N
0,3,0,0,0,4,2,0.4,2,1,0,6,1,0,5,1,2,1,10.41,6.4,426.29,0.02,18,0.16,23.68,66.61,0,1,2,6,0.29,8,10,5,8,7,0.0,5,N
1,3,2,0,1,4,2,0.2,2,2,1,7,1,0,10,0,0,0,14.14,10.56,1577.39,0.05,34,0.09,87.63,149.34,0,1,2,7,0.14,13,21,8,13,14,9.09,10,N
0,3,2,0,0,4,2,0.4,2,2,1,6,1,0,5,0,0,0,23.23,6.05,850.35,0.05,32,0.17,47.24,140.55,0,1,2,6,0.29,11,21,10,11,7,0.0,5,N
11,39,2,3,17,52,20,0.34,14,2,0,56,18,0,55,0,0,0,37.92,34.5,45133.85,0.44,233,0.03,2507.44,1308.23,0,19,29,38,0.23,92,141,28,21,88,26.67,58,N
6,7,3,0,0,12,4,0.4,6,3,0,16,1,0,10,0,0,0,18.14,12.95,3044.6,0.08,50,0.08,169.14,235.02,0,3,6,14,0.22,19,31,11,15,18,0.0,10,N
4,1,3,0,3,0,1,0.14,0,1,1,4,1,0,7,0,1,1,24.9,5.73,816.84,0.05,33,0.17,45.38,142.62,1,0,0,5,0.06,14,19,11,9,16,30.0,7,N
5,3,1,0,3,4,2,0.22,2,1,0,6,1,0,9,0,2,1,11.26,10.0,1125.88,0.04,27,0.1,62.55,112.59,0,1,2,6,0.11,10,17,6,12,19,25.0,9,N
0,1,0,0,0,0,1,0.33,0,1,1,1,1,0,3,0,1,1,6.89,3.0,62.04,0.01,8,0.33,3.45,20.68,1,0,0,2,0.2,3,5,2,4,5,0.0,3,N
0,3,2,0,0,4,2,0.2,2,1,0,7,1,0,10,1,2,1,12.16,10.08,1236.46,0.04,30,0.1,68.69,122.62,0,1,2,7,0.17,11,19,6,11,12,0.0,10,N
57,351,4,6,105,630,192,0.49,312,186,0,929,7,0,386,4,192,1,44.82,833.78,31159817.68,12.46,5227,0.0,1731100.99,37371.73,0,159,315,739,0.34,2279,2948,82,60,559,22.33,392,N
