LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
11,23,9,5,22,42,12,0.17,20,9,0.75,54,3,0.18,66,0,8,0.67,60.24,18.64,20938.3,0.37,199,0.05,1163.24,1123.13,0.25,11,21,44,0.1,87,112,35,15,123,29.03,71,N
10,21,1,8,17,36,11,0.23,16,4,0.36,40,4,0.3,40,0,11,1.0,27.59,39.14,42260.49,0.36,199,0.03,2347.8,1079.83,0.36,10,18,31,0.14,82,117,22,21,77,38.46,48,Y
0,1,3,0,0,0,1,0.07,0,1,1.0,4,1,0.0,15,0,0,0.0,6.05,10.67,688.74,0.02,23,0.09,38.26,64.56,1.0,0,0,5,0.06,16,7,3,4,16,0.0,15,N
1,11,0,0,0,20,6,0.3,10,1,0.17,21,1,0.0,20,0,0,0.0,13.96,12.0,2010.28,0.06,44,0.08,111.68,167.52,0.17,5,10,17,0.26,18,26,6,8,23,0.0,20,N
4,43,1,3,0,84,22,0.05,42,2,0.09,137,1,0.0,479,0,5,0.23,1643.15,10.81,192184.74,5.92,2029,0.09,10676.93,17770.43,0.05,21,42,117,0.05,1019,1010,424,9,487,0.62,482,N
0,7,0,0,0,10,4,0.2,4,1,0.25,12,4,1.0,20,0,4,1.0,36.01,10.31,3829.39,0.12,79,0.1,212.74,371.33,1.0,3,5,10,0.15,33,46,16,10,26,0.0,20,Y
0,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,2,0.33,0,0,0,0,3,0.0,0,N
2,7,1,6,0,10,4,0.31,4,1,0.25,12,1,0.0,7,0,3,0.75,17.58,10.83,2062.65,0.06,41,0.09,114.59,190.4,0.25,3,5,10,0.22,20,21,12,13,18,46.15,13,N
0,7,0,1,0,8,4,0.31,2,1,0.25,10,4,1.0,12,3,4,1.0,25.42,6.67,1129.72,0.06,38,0.15,62.76,169.46,1.0,3,4,8,0.24,16,22,12,10,17,7.69,13,N
0,1,1,0,0,0,1,0.5,0,1,1.0,2,1,0.0,2,1,1,1.0,9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,1.0,0,0,3,0.2,2,7,2,6,5,0.0,2,N
7,17,4,0,7,30,9,0.23,14,8,0.89,36,3,0.25,40,0,8,0.89,45.44,18.69,15868.32,0.28,163,0.05,881.57,849.14,0.33,8,15,29,0.16,69,94,24,13,56,14.89,40,N
0,1,1,0,1,0,1,0.5,0,1,1.0,2,1,0.0,2,0,0,0.0,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1.0,0,0,3,0.2,1,5,1,5,5,33.33,2,Y
16,33,0,0,5,42,17,0.38,12,1,0.06,47,14,0.81,45,0,5,0.29,43.13,14.03,8485.92,0.2,121,0.07,471.44,605.0,0.82,15,23,32,0.25,41,80,19,13,68,10.0,45,Y
0,1,2,0,0,0,1,0.14,0,1,1.0,3,1,0.0,7,0,0,0.0,10.0,3.0,90.0,0.01,10,0.33,5.0,30.0,1.0,0,0,4,0.13,6,4,4,4,8,0.0,7,N
118,273,5,21,123,430,137,0.19,158,17,0.12,494,73,0.53,709,0,54,0.39,150.7,147.72,3288484.49,7.42,3358,0.01,182693.6,22261.38,0.53,136,215,359,0.14,1167,2191,79,20,980,16.88,730,Y
1,3,0,1,0,4,2,0.33,2,1,0.5,6,1,0.0,5,1,2,1.0,10.95,6.0,394.38,0.02,19,0.17,21.91,65.73,0.5,1,2,6,0.22,10,9,5,6,9,16.67,6,N
18,15,0,5,33,24,8,0.21,10,1,0.13,28,5,0.57,33,0,5,0.63,27.46,26.82,19755.03,0.25,146,0.04,1097.5,736.48,0.63,7,12,22,0.09,57,89,17,16,91,53.52,38,N
12,39,4,0,11,66,20,0.31,28,13,0.65,72,9,0.42,65,0,17,0.85,60.65,23.78,34292.58,0.48,253,0.04,1905.14,1442.21,0.45,19,33,54,0.22,107,146,36,16,90,14.47,65,Y
3,11,3,1,6,20,6,0.22,10,6,1.0,22,1,0.0,26,0,6,1.0,35.77,12.22,5343.78,0.15,90,0.08,296.88,437.22,0.17,5,10,18,0.16,40,50,18,11,38,21.21,27,N
0,1,0,0,0,0,1,0.17,0,1,1.0,1,1,0.0,6,5,1,1.0,51.81,1.5,116.56,0.03,21,0.67,6.48,77.71,1.0,0,0,2,0.08,10,11,10,3,12,0.0,6,N
0,5,0,1,0,6,3,0.25,2,1,0.33,8,3,1.0,11,2,3,1.0,20.61,6.5,870.87,0.04,31,0.15,48.38,133.98,1.0,2,3,7,0.2,13,18,10,10,15,8.33,12,N
14,21,7,4,15,30,11,0.2,10,3,0.27,43,7,0.6,51,0,0,0.0,97.49,18.21,32331.72,0.59,277,0.05,1796.21,1775.4,0.64,10,17,34,0.13,111,166,64,21,86,27.14,55,N
1,3,0,0,2,4,2,0.2,2,1,0.5,6,1,0.0,10,0,0,0.0,26.93,4.8,620.48,0.04,31,0.21,34.47,129.27,0.5,1,2,6,0.13,12,19,10,8,15,16.67,10,N
1,1,0,0,1,0,1,0.25,0,1,1.0,1,1,0.0,4,0,1,1.0,14.4,2.5,90.0,0.01,12,0.4,5.0,36.0,1.0,0,0,2,0.13,5,7,4,4,8,20.0,4,N
4,5,4,1,6,6,3,0.23,2,2,0.67,13,3,1.0,12,0,2,0.67,20.25,9.55,1844.77,0.06,44,0.1,102.49,193.26,1.0,2,3,12,0.1,21,23,11,10,29,36.84,13,N
2,3,1,1,0,4,2,0.29,2,2,1.0,5,1,0.0,6,0,2,1.0,10.88,6.3,431.75,0.02,18,0.16,23.99,68.53,0.5,1,2,5,0.18,7,11,5,9,11,14.29,7,N
2,9,3,0,2,4,7,0.23,2,2,0.29,20,1,0.0,31,0,7,1.0,34.66,14.62,7413.09,0.17,94,0.07,411.84,506.88,0.14,1,2,15,0.18,39,55,24,18,38,6.06,31,Y
8,9,4,1,0,16,5,0.11,8,5,1.0,20,1,0.0,43,0,5,1.0,38.45,16.67,10689.16,0.21,124,0.06,593.84,641.07,0.2,4,8,17,0.09,59,65,23,13,54,2.27,44,Y
10,37,3,3,18,48,19,0.54,12,1,0.05,52,17,0.89,32,0,4,0.21,25.01,38.18,36464.5,0.32,176,0.03,2025.81,955.02,0.89,18,42,35,0.29,80,96,22,21,65,39.62,35,N
1,1,2,0,0,0,1,0.14,0,1,1.0,3,1,0.0,7,5,1,1.0,32.17,3.5,394.06,0.04,27,0.29,21.89,112.59,1.0,0,0,4,0.07,11,16,11,7,14,0.0,7,N
0,1,1,0,0,0,1,0.33,0,1,1.0,2,1,0.0,3,0,1,1.0,13.95,2.5,87.17,0.01,11,0.4,4.84,34.87,1.0,0,0,3,0.14,4,7,4,5,7,0.0,3,N
2,11,1,2,0,14,6,0.32,4,2,0.33,16,5,0.8,17,0,5,0.83,21.67,17.6,6713.93,0.13,77,0.06,373.0,381.47,0.83,5,7,12,0.24,33,44,15,16,25,10.53,19,Y
0,1,3,0,0,0,1,0.17,0,1,1.0,4,1,0.0,6,0,1,1.0,8.51,3.0,76.62,0.01,11,0.33,4.26,25.54,1.0,0,0,5,0.13,4,7,2,3,8,0.0,6,N
1,3,2,1,0,4,2,0.18,2,2,1.0,6,1,0.0,10,0,2,1.0,24.53,6.8,1134.22,0.06,40,0.15,63.01,166.8,0.5,1,2,6,0.12,17,23,10,8,17,9.09,11,N
3,3,0,1,0,4,2,0.29,2,1,0.5,5,1,0.0,6,0,2,1.0,11.71,4.9,281.06,0.02,16,0.2,15.61,57.36,0.5,1,2,5,0.17,7,9,5,7,12,14.29,7,N
1,3,1,0,0,4,2,0.33,2,2,1.0,7,1,0.0,6,0,2,1.0,9.25,7.2,479.58,0.02,18,0.14,26.64,66.61,0.5,1,2,7,0.22,9,9,5,8,9,0.0,6,Y
9,29,3,1,8,44,15,0.22,18,5,0.33,51,9,0.57,66,0,13,0.87,41.35,34.0,47798.56,0.47,238,0.03,2655.48,1405.84,0.6,13,25,38,0.17,102,136,36,24,86,12.0,67,Y
6,7,3,0,0,12,4,0.2,6,3,0.75,16,1,0.0,20,0,4,1.0,28.31,9.19,2389.35,0.09,53,0.11,132.74,260.07,0.25,3,6,14,0.14,21,32,16,14,28,0.0,20,Y
0,1,0,0,0,0,1,0.5,0,1,1.0,1,1,0.0,2,0,1,1.0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.2,2,3,2,3,5,0.0,2,N
6,3,2,0,0,4,2,0.29,2,2,1.0,6,1,0.0,7,0,2,1.0,19.48,4.81,451.25,0.03,24,0.21,25.07,93.77,0.5,1,2,6,0.13,11,13,8,7,15,0.0,7,N
0,3,1,2,0,4,2,0.17,2,1,0.5,7,1,0.0,10,0,1,0.5,15.95,5.25,439.75,0.03,22,0.19,24.43,83.76,0.5,1,2,7,0.15,14,8,8,6,13,16.67,12,N
0,5,1,0,3,8,3,0.2,4,3,1.0,10,1,0.0,15,0,3,1.0,27.6,10.33,2947.55,0.1,66,0.1,163.75,285.25,0.33,2,4,9,0.12,31,35,12,8,25,16.67,15,N
3,11,5,8,2,20,6,0.12,10,6,1.0,28,1,0.0,44,0,4,0.67,61.3,21.53,28424.0,0.44,220,0.05,1579.11,1320.0,0.17,5,10,24,0.1,102,118,45,19,59,18.52,52,N
422,181,34,5,529,244,91,0.04,64,31,0.34,661,60,0.66,2067,0,6,0.07,1160.64,77.95,7052586.09,30.16,10342,0.01,391810.36,90473.81,0.66,90,122,572,0.03,4034,6308,414,16,3025,20.53,2072,Y
6,11,3,3,6,20,6,0.21,10,3,0.5,22,1,0.0,26,0,2,0.33,16.05,16.9,4586.89,0.09,60,0.06,254.83,271.41,0.17,5,10,18,0.14,26,34,10,13,44,25.71,29,N
2,9,0,5,1,14,5,0.31,6,1,0.2,14,4,0.75,11,1,2,0.4,11.26,16.88,3206.07,0.06,42,0.06,178.12,189.99,0.8,4,7,11,0.24,18,24,8,15,21,35.29,16,N
0,1,1,0,0,0,1,0.11,0,1,1.0,2,1,0.0,9,0,0,0.0,7.4,1.5,16.64,0.0,7,0.67,0.92,11.09,1.0,0,0,3,0.1,6,1,2,1,10,0.0,9,N
1,7,2,3,13,10,4,0.18,4,2,0.5,13,3,0.67,19,0,3,0.75,21.49,14.0,4211.59,0.1,64,0.07,233.98,300.83,0.75,3,5,11,0.1,28,36,13,13,41,45.71,22,Y
1,3,4,1,12,4,2,0.17,2,2,1.0,9,1,0.0,11,0,2,1.0,25.76,8.08,1680.68,0.07,46,0.12,93.37,208.08,0.5,1,2,9,0.06,21,25,13,10,31,54.17,12,Y
2,9,0,1,0,10,5,0.5,2,1,0.2,11,5,1.0,9,0,4,0.8,17.95,7.94,1133.07,0.05,33,0.13,62.95,142.62,1.0,4,7,8,0.33,13,20,9,11,15,10.0,10,N
1,17,2,1,17,24,9,0.14,8,5,0.56,28,7,0.75,62,0,8,0.89,28.81,47.03,63730.17,0.45,271,0.02,3540.56,1355.0,0.78,8,12,21,0.11,83,188,15,17,83,22.5,63,N
0,5,0,0,0,8,3,0.21,4,1,0.33,9,1,0.0,14,0,3,1.0,19.97,9.6,1840.85,0.06,43,0.1,102.27,191.76,0.33,2,4,8,0.15,16,27,10,12,20,0.0,14,N
5,9,0,0,4,16,5,0.23,8,1,0.2,17,1,0.0,22,0,5,1.0,14.85,30.0,13366.0,0.15,109,0.03,742.56,445.53,0.2,4,8,14,0.14,42,67,7,10,37,15.38,22,N
0,1,1,0,0,0,1,0.33,0,1,1.0,2,1,0.0,3,0,0,0.0,4.0,0.5,1.0,0.0,2,2.0,0.06,2.0,1.0,0,0,3,0.25,1,1,1,1,4,0.0,3,N
1,5,1,16,0,14,3,0.12,4,2,0.67,10,1,0.0,9,0,3,1.0,22.7,11.0,2747.01,0.08,56,0.09,152.61,249.73,0.33,5,7,9,0.09,22,34,11,11,34,64.0,25,N
2,9,3,1,15,12,5,0.25,4,3,0.6,16,4,0.75,19,0,2,0.4,27.91,11.5,3690.89,0.11,70,0.09,205.05,320.95,0.8,4,6,13,0.13,23,47,12,12,39,45.71,20,N
0,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,0,1,1.0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.33,2,3,2,3,3,0.0,0,N
2,1,1,0,3,0,1,0.2,0,1,1.0,2,1,0.0,5,0,0,0.0,22.2,3.0,199.82,0.02,18,0.33,11.1,66.61,1.0,0,0,3,0.08,7,11,7,6,12,37.5,5,N
15,29,5,1,59,46,15,0.19,18,5,0.33,58,10,0.64,77,0,9,0.6,40.08,42.96,73978.89,0.57,310,0.02,4109.93,1721.92,0.67,14,23,45,0.1,116,194,27,20,154,43.8,78,Y
166,17,10,0,128,26,9,0.01,10,6,0.67,193,5,0.5,855,0,2,0.22,525.77,52.73,1461715.65,9.24,3581,0.02,81206.42,27722.19,0.56,8,13,186,0.01,1305,2276,198,16,1151,13.02,855,N
0,3,2,0,0,4,2,0.2,2,2,1.0,6,1,0.0,10,0,2,1.0,14.06,8.67,1055.91,0.04,32,0.12,58.66,121.84,0.5,1,2,6,0.17,13,19,6,8,12,0.0,10,N
3,9,4,0,2,16,5,0.2,8,1,0.2,21,1,0.0,25,0,5,1.0,24.26,11.05,2959.73,0.09,62,0.09,164.43,267.96,0.2,4,8,18,0.16,27,35,11,9,32,7.41,25,N
2,7,2,1,3,0,6,0.17,0,6,1.0,15,1,0.0,35,2,1,0.17,27.94,13.6,5168.0,0.13,76,0.07,287.11,380.0,0.17,0,0,11,0.13,24,52,15,17,45,10.26,36,N
8,13,4,4,6,24,7,0.18,12,5,0.71,31,1,0.0,36,0,6,0.86,38.99,24.64,23674.61,0.32,164,0.04,1315.26,960.71,0.14,6,12,26,0.12,75,89,35,23,58,21.74,40,Y
2,5,0,0,11,6,3,0.23,2,1,0.33,8,3,1.0,13,0,2,0.67,17.88,10.56,1994.94,0.06,43,0.09,110.83,188.87,1.0,2,3,7,0.11,13,30,8,13,28,45.83,13,N
0,13,0,3,5,24,7,0.18,12,1,0.14,26,1,0.0,35,0,7,1.0,43.62,6.5,1843.11,0.09,68,0.15,102.39,283.55,0.14,6,12,21,0.15,26,42,12,6,47,18.6,38,N
3,1,2,0,1,0,1,0.08,0,1,1.0,4,1,0.0,13,1,1,1.0,30.27,6.29,1195.97,0.06,55,0.16,66.44,190.27,1.0,0,0,5,0.05,22,33,7,4,19,7.14,13,N
2,11,4,1,1,12,6,0.32,2,6,1.0,18,6,1.0,18,0,6,1.0,23.46,10.83,2753.7,0.08,57,0.09,152.98,254.19,1.0,5,6,14,0.22,26,31,12,10,27,10.0,19,Y
117,55,17,23,100,82,28,0.12,28,8,0.29,148,13,0.44,219,0,18,0.64,162.58,44.85,327028.86,2.43,1178,0.02,18168.27,7291.61,0.46,27,41,122,0.06,414,764,60,13,461,35.96,242,Y
3,3,1,0,0,0,2,0.15,0,2,1.0,6,1,0.0,13,0,2,1.0,20.27,7.15,1036.36,0.05,33,0.14,57.58,144.95,0.5,0,0,6,0.1,13,20,10,11,20,0.0,13,Y
2,1,2,0,1,0,1,0.03,0,1,1.0,3,1,0.0,32,0,1,1.0,229.37,2.73,1706.08,0.21,121,0.37,94.78,625.56,1.0,0,0,4,0.03,60,61,33,3,36,3.03,32,Y
6,10,2,1,1,14,6,0.21,6,4,0.67,22,1,0.0,27,0,4,0.67,27.81,15.42,6610.26,0.14,85,0.06,367.24,428.77,0.17,4,7,18,0.16,37,48,18,15,37,6.9,28,N
0,1,1,0,0,0,1,0.5,0,1,1.0,2,1,0.0,2,1,1,1.0,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,0,0,3,0.25,2,6,2,6,4,0.0,2,N
2,25,0,16,8,40,13,0.19,16,1,0.08,43,9,0.67,52,0,12,0.92,22.12,57.0,71859.2,0.42,242,0.02,3992.18,1260.69,0.69,12,20,32,0.15,108,134,18,19,84,31.58,68,N
5,9,5,1,6,16,5,0.15,8,4,0.8,20,1,0.0,32,0,5,1.0,35.4,34.13,41218.87,0.4,224,0.03,2289.94,1207.88,0.2,4,8,17,0.06,91,133,24,18,84,17.95,33,Y
0,1,2,0,0,0,1,0.5,0,1,1.0,3,1,0.0,2,0,1,1.0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1.0,0,0,4,0.2,3,8,3,7,5,0.0,2,N
16,29,2,4,18,54,15,0.16,26,3,0.2,64,3,0.14,91,0,1,0.07,85.05,35.1,104798.43,1.0,475,0.03,5822.13,2985.57,0.2,14,27,51,0.11,218,257,59,19,131,19.47,95,N
14,7,4,2,33,12,4,0.13,6,4,1.0,16,1,0.0,30,0,4,1.0,55.71,13.46,10098.99,0.25,140,0.07,561.05,750.06,0.25,3,6,14,0.05,58,82,28,13,81,53.85,32,N
3,7,1,0,3,10,4,0.29,4,1,0.25,13,4,1.0,14,0,2,0.5,18.46,12.5,2884.41,0.08,48,0.08,160.25,230.75,1.0,3,5,11,0.17,25,23,14,14,23,17.65,14,N
2,3,2,1,0,0,2,0.2,0,2,1.0,6,1,0.0,9,0,2,1.0,21.6,5.0,540.0,0.04,27,0.2,30.0,108.0,0.5,0,0,6,0.14,10,17,8,8,14,10.0,10,N
5,13,2,0,2,18,7,0.13,6,4,0.57,20,5,0.67,53,0,7,1.0,49.71,24.17,29043.67,0.4,214,0.04,1613.54,1201.55,0.71,6,9,15,0.11,91,123,32,17,66,3.64,53,N
2,3,1,2,0,4,2,0.22,2,1,0.5,6,1,0.0,7,1,1,0.5,16.73,5.5,506.0,0.03,23,0.18,28.11,92.0,0.5,1,2,6,0.15,11,12,8,8,13,22.22,9,N
260,37,8,11,28,72,19,0.1,36,17,0.89,84,1,0.0,183,0,14,0.74,101.25,35.75,129435.43,1.21,583,0.03,7190.86,3620.11,0.05,18,36,67,0.04,207,376,55,19,485,17.57,194,Y
4,7,3,0,3,10,4,0.29,4,2,0.5,14,3,0.67,14,1,4,1.0,15.01,12.0,2161.02,0.06,41,0.08,120.06,180.09,0.75,3,5,12,0.17,18,23,9,12,23,17.65,14,N
60,71,13,76,26,124,38,0.13,62,37,0.97,191,1,0.0,209,0,17,0.45,116.79,66.0,508729.44,2.57,1126,0.02,28262.75,7708.02,0.03,31,62,155,0.1,528,598,92,23,373,32.8,285,Y
4,11,2,0,1,20,6,0.23,10,3,0.5,24,5,0.8,26,0,5,0.83,37.03,12.75,6019.08,0.16,87,0.08,334.39,472.09,0.83,5,10,20,0.18,39,48,26,17,33,3.7,26,N
0,1,0,0,0,0,1,0.5,0,1,1.0,1,1,0.0,2,1,1,1.0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,0.0,2,N
1,1,2,0,2,0,1,0.14,0,1,1.0,7,1,0.0,7,0,0,0.0,23.39,9.19,1974.2,0.07,55,0.11,109.68,214.88,1.0,0,0,8,0.08,21,34,8,7,12,22.22,7,N
1,3,3,2,0,4,2,0.2,2,2,1.0,7,1,0.0,8,0,2,1.0,13.88,6.4,568.39,0.03,24,0.16,31.58,88.81,0.5,1,2,7,0.15,8,16,5,8,13,20.0,10,Y
11,109,5,0,4,216,55,0.17,108,2,0.04,272,1,0.0,320,0,54,0.98,289.79,30.0,260810.72,2.9,1246,0.03,14489.48,8693.69,0.02,54,108,219,0.16,570,676,114,12,337,1.23,320,N
9,21,4,3,47,38,11,0.24,18,3,0.27,49,8,0.7,42,0,4,0.36,19.25,40.59,31716.38,0.26,150,0.02,1762.02,781.42,0.73,10,19,40,0.11,69,81,17,20,103,54.35,45,N
0,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,2,0.25,0,0,0,0,4,0.0,0,N
7,13,5,5,11,24,7,0.11,12,7,1.0,32,1,0.0,58,0,7,1.0,69.98,27.32,52234.72,0.64,325,0.04,2901.93,1911.86,0.14,6,12,27,0.08,135,190,42,17,83,21.62,63,N
5,5,1,1,8,8,3,0.13,4,2,0.67,11,1,0.0,22,0,3,1.0,21.51,13.0,3635.88,0.09,61,0.08,201.99,279.68,0.33,2,4,10,0.08,26,35,12,12,38,29.03,23,N
15,15,4,0,19,28,8,0.11,14,6,0.75,56,1,0.0,75,0,8,1.0,121.01,21.78,57405.04,0.88,430,0.05,3189.17,2635.59,0.13,7,14,50,0.07,191,239,57,13,111,20.21,75,Y
0,1,2,0,0,0,1,0.17,0,1,1.0,3,1,0.0,6,0,0,0.0,10.8,2.5,67.5,0.01,9,0.4,3.75,27.0,1.0,0,0,4,0.14,5,4,4,4,7,0.0,6,N
11,99,18,32,51,150,50,0.27,50,21,0.42,233,31,0.61,152,0,35,0.7,66.03,112.0,828245.12,2.47,1160,0.01,46013.62,7395.05,0.62,50,83,185,0.2,440,720,55,28,248,35.32,184,Y
0,1,3,0,1,0,1,0.25,0,1,1.0,4,1,0.0,4,0,1,1.0,15.85,2.0,63.4,0.01,10,0.5,3.52,31.7,1.0,0,0,5,0.14,5,5,5,4,7,20.0,4,N
5,7,0,1,6,12,4,0.21,6,1,0.25,14,1,0.0,18,0,4,1.0,24.65,8.59,1819.34,0.07,49,0.12,101.07,211.77,0.25,3,6,12,0.11,21,28,11,9,36,28.0,19,N
4,15,5,3,2,22,8,0.17,10,6,0.75,32,1,0.0,43,0,4,0.5,35.03,27.5,26492.79,0.32,169,0.04,1471.82,963.37,0.13,6,11,26,0.15,75,94,30,22,54,10.42,46,N
6,9,2,0,1,6,6,0.1,2,4,0.67,17,4,0.6,60,0,4,0.67,37.8,32.22,39260.58,0.41,180,0.03,2181.14,1218.27,0.67,2,3,13,0.09,61,119,53,56,69,1.64,60,N
70,15,44,2,78,28,8,0.05,14,2,0.25,109,1,0.0,154,0,2,0.25,71.48,75.17,403919.33,1.79,957,0.01,22439.96,5373.28,0.13,7,14,103,0.03,283,674,32,17,306,34.19,156,N
14,60,9,7,27,104,31,0.24,48,26,0.84,126,1,0.0,121,0,31,1.0,87.83,42.11,155774.83,1.23,567,0.02,8654.16,3698.86,0.03,28,52,97,0.18,268,299,70,22,171,21.94,128,Y
0,3,1,0,0,4,2,0.29,2,2,1.0,5,1,0.0,7,0,0,0.0,7.65,7.5,430.2,0.02,16,0.13,23.9,57.36,0.5,1,2,5,0.22,5,11,3,9,9,0.0,7,N
3,5,0,1,0,8,3,0.27,4,1,0.33,10,1,0.0,10,1,3,1.0,13.33,9.0,1080.0,0.04,30,0.11,60.0,120.0,0.33,2,4,9,0.19,14,16,7,9,16,9.09,11,N
10,9,2,0,6,14,5,0.26,6,4,0.8,17,3,0.5,19,0,4,0.8,27.45,10.36,2944.2,0.09,62,0.1,163.57,284.27,0.6,4,7,14,0.14,29,33,14,10,37,24.0,19,N
8,7,4,3,5,12,4,0.1,6,4,1.0,15,1,0.0,38,2,4,1.0,56.4,9.9,5533.47,0.19,115,0.1,307.42,558.67,0.25,3,6,13,0.07,52,63,21,8,58,17.39,41,Y
0,9,0,0,1,14,5,0.45,6,1,0.2,13,3,0.5,11,0,4,0.8,20.8,5.0,520.0,0.03,26,0.2,28.89,104.0,0.6,4,7,10,0.33,10,16,8,8,15,8.33,11,N
2,3,0,0,4,4,2,0.18,2,1,0.5,6,1,0.0,11,0,1,0.5,24.32,6.0,875.68,0.05,35,0.17,48.65,145.95,0.5,1,2,6,0.1,15,20,10,8,20,26.67,11,N
