LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
1,3,5,0,1,4,2,0.22,2,2.0,2,1.0,12,1,0.0,9,1,2,1.0,25.29,11.85,3548.61,0.1,63,0.08,197.14,299.56,0.5,1,2,12,0.17,22,41,13,14,12,10.0,9,N
1,13,10,0,0,24,7,0.32,12,2.0,7,1.0,40,1,0.0,22,3,7,1.0,54.54,15.58,13243.53,0.28,153,0.06,735.75,849.85,0.14,6,12,35,0.28,55,98,30,17,25,0.0,22,N
13,12,14,0,4,4,8,0.15,2,2.0,8,1.0,46,1,0.0,54,0,8,1.0,90.48,17.04,26283.38,0.51,259,0.06,1460.19,1542.14,0.13,1,2,40,0.11,98,161,46,16,73,6.9,54,N
1,5,5,0,0,8,3,0.33,4,2.0,3,1.0,16,3,1.0,9,1,3,1.0,27.86,8.67,2092.83,0.08,52,0.12,116.27,241.48,1.0,2,4,15,0.27,16,36,12,13,11,0.0,9,N
0,5,5,0,3,8,3,0.19,4,2.0,3,1.0,15,1,0.0,16,2,3,1.0,25.63,16.0,6560.0,0.14,82,0.06,364.44,410.0,0.33,2,4,14,0.14,32,50,16,16,21,15.79,16,N
0,5,8,1,1,6,3,0.18,2,3.0,3,1.0,19,3,1.0,16,1,3,1.0,27.98,18.0,9065.86,0.17,99,0.06,503.66,503.66,1.0,2,3,18,0.16,32,67,16,18,19,11.11,17,Y
2,9,12,0,4,8,6,0.18,4,2.0,6,1.0,34,3,0.4,33,1,4,0.67,64.58,19.75,25188.5,0.43,211,0.05,1399.36,1275.37,0.5,2,4,30,0.15,79,132,44,22,40,10.81,33,N
0,6,3,0,0,4,4,0.31,2,2.0,3,0.75,14,1,0.0,13,0,2,0.5,21.05,11.25,2664.41,0.08,51,0.09,148.02,236.84,0.25,1,2,12,0.29,15,36,10,15,14,0.0,13,N
6,18,17,0,1,28,10,0.15,14,2.0,9,0.9,68,1,0.0,67,0,7,0.7,65.16,27.99,51033.62,0.61,314,0.04,2835.2,1823.51,0.1,7,14,60,0.13,109,205,37,19,75,1.47,67,N
0,3,3,0,0,4,2,0.5,2,2.0,2,1.0,9,1,0.0,4,2,2,1.0,18.99,5.14,502.31,0.03,25,0.19,27.91,97.67,0.5,1,2,9,0.33,9,16,7,8,6,0.0,4,N
0,3,8,0,0,4,2,0.18,2,2.0,2,1.0,16,1,0.0,11,0,2,1.0,36.54,9.29,3150.52,0.11,74,0.11,175.03,339.29,0.5,1,2,16,0.17,26,48,14,10,12,0.0,11,N
5,5,10,1,1,8,3,0.23,4,2.0,3,1.0,21,1,0.0,12,1,3,1.0,46.32,10.21,4832.73,0.16,93,0.1,268.48,473.13,0.33,2,4,20,0.14,33,60,21,13,21,14.29,13,Y
12,11,13,0,0,8,7,0.13,4,2.0,5,0.71,42,4,0.5,54,2,4,0.57,88.12,18.17,29080.61,0.53,271,0.06,1615.59,1600.77,0.57,2,4,37,0.1,109,162,45,15,67,0.0,54,N
4,17,5,0,0,24,9,0.45,8,3.0,9,1.0,50,9,1.0,20,1,9,1.0,46.86,14.55,9917.4,0.23,134,0.07,550.97,681.72,1.0,8,12,43,0.35,47,87,21,13,26,0.0,20,Y
5,3,6,0,1,4,2,0.12,2,2.0,2,1.0,17,1,0.0,17,1,1,0.5,50.08,14.0,9816.39,0.23,139,0.07,545.36,701.17,0.5,1,2,17,0.08,56,83,22,11,24,5.56,17,N
5,11,11,0,5,20,6,0.21,10,2.0,6,1.0,38,1,0.0,28,1,4,0.67,44.43,18.41,15056.5,0.27,157,0.05,836.47,817.88,0.17,5,10,34,0.15,54,103,22,15,39,15.15,28,N
4,10,9,0,1,12,6,0.22,6,2.0,6,1.0,37,4,0.6,27,0,5,0.83,61.09,13.24,10710.87,0.27,152,0.08,595.05,808.93,0.67,3,6,33,0.18,55,97,27,13,33,3.57,27,N
22,43,20,3,11,38,26,0.2,18,2.11,18,0.69,132,15,0.56,128,0,19,0.73,109.63,42.03,193686.35,1.54,666,0.02,10760.35,4607.96,0.58,10,19,108,0.16,255,411,91,30,166,9.86,131,N
0,3,2,0,1,4,2,0.22,2,2.0,2,1.0,9,1,0.0,9,2,2,1.0,18.62,14.88,4118.96,0.09,57,0.07,228.83,276.9,0.5,1,2,9,0.17,21,36,12,17,12,10.0,9,Y
10,11,19,0,3,20,6,0.17,10,2.0,6,1.0,48,1,0.0,36,0,4,0.67,115.58,11.75,15944.27,0.45,223,0.09,885.79,1357.5,0.17,5,10,44,0.12,83,140,53,15,50,7.69,36,N
5,6,6,1,0,4,4,0.18,2,2.0,3,0.75,19,1,0.0,21,0,3,0.75,32.17,13.68,6017.65,0.15,88,0.07,334.31,440.0,0.25,1,2,17,0.14,31,57,17,15,28,4.55,22,Y
0,6,4,0,0,4,4,0.25,2,2.0,3,0.75,15,1,0.0,16,0,2,0.5,24.11,11.64,3264.45,0.09,59,0.09,181.36,280.54,0.25,1,2,13,0.24,16,43,11,16,17,0.0,16,N
0,3,2,0,0,4,2,0.25,2,2.0,2,1.0,8,1,0.0,8,2,2,1.0,16.2,8.75,1240.55,0.05,34,0.11,68.92,141.78,0.5,1,2,8,0.2,14,20,8,10,10,0.0,8,N
0,5,3,0,0,8,3,0.17,4,2.0,2,0.67,13,3,1.0,18,1,2,0.67,24.12,18.56,8310.37,0.15,88,0.05,461.69,447.7,1.0,2,4,12,0.16,33,55,16,18,19,0.0,18,N
0,3,5,0,0,4,2,0.22,2,2.0,2,1.0,12,1,0.0,9,0,1,0.5,20.53,8.13,1355.23,0.06,40,0.12,75.29,166.8,0.5,1,2,12,0.2,13,27,8,10,10,0.0,9,N
5,21,14,0,3,38,11,0.27,18,2.11,10,0.91,66,1,0.0,41,1,11,1.0,58.14,23.94,33320.87,0.46,243,0.04,1851.16,1391.88,0.09,10,19,57,0.22,79,164,33,20,50,6.82,41,N
3,11,7,0,0,18,6,0.29,8,2.25,4,0.67,28,4,0.6,21,2,4,0.67,37.67,18.75,13244.88,0.24,131,0.05,735.83,706.39,0.67,5,9,24,0.24,50,81,24,18,25,0.0,21,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,0,2,1.0,28.73,7.92,1800.5,0.08,51,0.13,100.03,227.43,0.5,1,2,9,0.22,19,32,12,10,9,0.0,8,N
12,15,20,0,16,16,9,0.15,8,2.0,9,1.0,61,1,0.0,61,0,9,1.0,90.69,22.53,46024.85,0.68,327,0.04,2556.94,2043.07,0.11,4,8,54,0.1,118,209,55,21,91,20.78,61,N
7,6,14,0,0,4,4,0.17,2,2.0,4,1.0,26,1,0.0,23,2,4,1.0,68.58,11.02,8321.46,0.25,136,0.09,462.3,755.42,0.25,1,2,24,0.13,47,89,32,15,32,0.0,23,Y
5,11,9,0,11,12,7,0.16,6,2.0,5,0.71,40,1,0.0,44,3,6,0.86,42.06,32.72,45051.12,0.46,236,0.03,2502.84,1376.56,0.14,3,6,35,0.11,90,146,33,24,62,20.0,44,N
19,24,17,2,12,16,15,0.17,8,2.0,9,0.6,83,1,0.0,86,0,11,0.73,92.86,35.1,114410.43,1.09,495,0.03,6356.14,3259.56,0.07,4,8,70,0.12,189,306,70,26,122,14.0,88,Y
1,7,1,0,0,12,4,0.31,6,2.0,4,1.0,16,1,0.0,13,0,4,1.0,16.11,13.71,3029.38,0.07,52,0.07,168.3,220.89,0.25,3,6,14,0.27,16,36,7,12,15,0.0,13,N
2,3,2,0,0,4,2,0.22,2,2.0,2,1.0,7,1,0.0,9,0,2,1.0,15.96,9.75,1517.0,0.05,36,0.1,84.28,155.59,0.5,1,2,7,0.17,13,23,8,12,12,0.0,9,N
7,27,9,1,4,46,14,0.33,20,2.3,12,0.86,64,6,0.38,42,0,11,0.79,35.69,27.62,27226.57,0.33,184,0.04,1512.59,985.79,0.43,13,23,52,0.25,58,126,21,20,57,10.64,43,Y
10,12,20,0,5,16,7,0.15,8,2.0,7,1.0,53,3,0.33,47,0,6,0.86,100.52,18.02,32631.05,0.6,289,0.06,1812.84,1811.1,0.43,4,8,48,0.11,110,179,58,19,63,9.62,47,N
3,9,7,0,0,16,5,0.33,8,2.0,5,1.0,27,1,0.0,15,3,5,1.0,42.6,12.5,6656.28,0.18,103,0.08,369.79,532.5,0.2,4,8,24,0.26,35,68,21,15,19,0.0,15,N
10,13,17,2,6,12,8,0.19,6,2.0,6,0.75,47,5,0.57,41,1,6,0.75,99.17,12.98,16702.0,0.43,217,0.08,927.89,1286.97,0.63,3,6,41,0.13,73,144,45,16,60,16.32,43,Y
21,41,28,0,11,64,22,0.2,30,2.13,19,0.86,151,8,0.33,111,1,16,0.73,141.86,34.57,169489.04,1.63,715,0.03,9416.06,4903.46,0.36,17,32,131,0.15,265,450,92,24,144,9.02,111,Y
1,5,4,0,0,8,3,0.27,4,2.0,3,1.0,13,1,0.0,11,1,3,1.0,23.27,11.38,3010.96,0.09,57,0.09,167.28,264.7,0.33,2,4,12,0.23,21,36,12,13,13,0.0,11,N
2,11,10,0,1,12,7,0.2,6,2.0,6,0.86,38,1,0.0,35,0,5,0.71,55.65,17.14,16352.99,0.32,165,0.06,908.5,953.92,0.14,3,6,33,0.18,60,105,35,20,39,2.78,35,N
9,34,28,1,27,56,18,0.22,26,2.15,15,0.83,116,10,0.53,81,3,16,0.89,93.63,43.69,178710.34,1.36,608,0.02,9928.35,4090.58,0.56,15,28,100,0.15,232,376,77,29,121,25.69,82,N
2,3,4,0,0,4,2,0.22,2,2.0,1,0.5,13,1,0.0,9,3,1,0.5,42.03,6.19,1609.1,0.09,56,0.16,89.39,260.06,0.5,1,2,13,0.17,22,34,16,9,12,0.0,9,N
4,11,6,0,15,18,6,0.24,8,2.25,4,0.67,27,1,0.0,25,2,6,1.0,24.1,24.7,14702.26,0.2,117,0.04,816.79,595.23,0.17,5,9,23,0.13,39,78,15,19,45,37.5,25,N
5,11,9,0,14,14,6,0.33,4,3.5,6,1.0,28,5,0.8,18,1,5,0.83,42.78,14.62,9144.94,0.21,116,0.07,508.05,625.51,0.83,5,8,24,0.15,43,73,25,17,39,43.75,18,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,0,2,1.0,20.33,9.78,1943.91,0.07,46,0.1,107.99,198.81,0.5,1,2,9,0.22,16,30,9,11,9,0.0,8,N
0,5,4,0,0,8,3,0.21,4,2.0,3,1.0,15,3,1.0,14,1,1,0.33,26.73,9.21,2266.4,0.08,53,0.11,125.91,246.12,1.0,2,4,14,0.2,17,36,12,13,15,0.0,14,N
3,3,5,0,5,4,2,0.29,2,2.0,2,1.0,11,1,0.0,7,0,2,1.0,20.1,11.7,2752.14,0.08,52,0.09,152.9,235.23,0.5,1,2,11,0.13,18,34,10,13,16,41.67,7,N
0,3,6,0,0,4,2,0.18,2,2.0,2,1.0,14,1,0.0,11,0,1,0.5,35.16,8.21,2372.72,0.1,63,0.12,131.82,288.85,0.5,1,2,14,0.17,23,40,14,10,12,0.0,11,N
0,3,3,0,0,6,2,0.5,2,3.0,2,1.0,11,1,0.0,4,1,2,1.0,14.83,7.0,726.48,0.03,30,0.14,40.36,103.78,0.5,2,3,11,0.4,8,22,4,7,5,0.0,4,N
10,22,17,0,3,30,12,0.27,12,2.5,10,0.83,69,7,0.55,45,1,8,0.67,69.77,26.35,48459.37,0.61,299,0.04,2692.19,1838.77,0.58,9,15,59,0.2,110,189,48,23,59,6.25,45,Y
10,14,15,0,3,18,8,0.16,8,2.25,8,1.0,49,5,0.57,50,0,4,0.5,75.66,19.93,30048.37,0.5,246,0.05,1669.35,1507.8,0.63,5,9,43,0.13,93,153,49,21,64,5.66,50,N
3,11,6,0,0,20,6,0.24,10,2.0,6,1.0,35,1,0.0,25,1,6,1.0,30.2,25.0,18875.0,0.25,151,0.04,1048.61,755.0,0.17,5,10,31,0.21,50,101,16,16,29,0.0,25,N
8,22,35,0,0,16,15,0.14,8,2.0,14,0.93,109,5,0.29,107,0,15,1.0,189.82,24.81,116852.98,1.57,675,0.04,6491.83,4709.66,0.33,4,8,96,0.13,263,412,106,20,118,0.0,107,Y
4,9,5,0,0,16,5,0.25,8,2.0,5,1.0,34,4,0.75,20,1,5,1.0,41.69,12.35,6361.1,0.17,106,0.08,353.39,514.95,0.8,4,8,31,0.19,35,71,17,12,26,0.0,20,N
2,8,6,0,0,8,5,0.2,4,2.0,4,0.8,29,1,0.0,25,1,4,0.8,42.86,17.68,13404.49,0.25,153,0.06,744.69,757.99,0.2,2,4,26,0.18,56,97,19,12,28,0.0,25,N
0,3,6,0,0,4,2,0.18,2,2.0,2,1.0,13,1,0.0,11,0,1,0.5,34.43,7.86,2125.46,0.09,59,0.13,118.08,270.51,0.5,1,2,13,0.17,22,37,14,10,12,0.0,11,N
0,5,4,0,0,8,3,0.33,4,2.0,3,1.0,16,1,0.0,9,1,1,0.33,32.94,6.95,1593.02,0.08,53,0.14,88.5,229.06,0.33,2,4,15,0.3,17,36,11,9,10,0.0,9,N
0,17,1,0,0,32,9,0.45,16,2.0,8,0.89,48,1,0.0,20,1,9,1.0,35.13,15.23,8150.47,0.18,120,0.07,452.8,535.13,0.11,8,16,41,0.43,44,76,13,9,21,0.0,20,N
4,5,5,0,0,8,3,0.2,4,2.0,3,1.0,18,1,0.0,15,2,2,0.67,31.14,17.14,9151.3,0.18,101,0.06,508.41,533.83,0.33,2,4,17,0.15,40,61,21,18,20,0.0,15,N
11,40,18,9,12,58,22,0.19,28,2.07,19,0.86,138,15,0.67,105,0,19,0.86,75.75,43.23,141550.33,1.09,529,0.02,7863.91,3274.42,0.68,15,29,118,0.16,166,363,48,25,140,16.67,114,Y
28,59,46,1,38,42,36,0.15,20,2.1,34,0.94,233,20,0.54,241,0,33,0.92,238.08,40.75,395438.84,3.23,1287,0.02,21968.82,9702.9,0.56,11,21,199,0.12,480,807,159,27,310,13.93,242,N
2,3,5,0,1,4,2,0.25,2,2.0,2,1.0,10,1,0.0,8,1,2,1.0,26.84,8.18,1796.86,0.07,50,0.12,99.83,219.62,0.5,1,2,10,0.17,18,32,11,10,12,11.11,8,N
7,7,22,0,0,4,5,0.09,2,2.0,5,1.0,52,1,0.0,57,0,5,1.0,139.4,16.46,37755.59,0.76,357,0.06,2097.53,2294.18,0.2,1,2,49,0.08,144,213,70,16,65,0.0,57,Y
5,11,11,0,2,20,6,0.27,10,2.0,5,0.83,36,1,0.0,22,2,5,0.83,35.31,19.55,13490.6,0.23,128,0.05,749.48,690.22,0.17,5,10,32,0.19,43,85,22,20,31,8.33,22,N
1,6,6,0,0,4,4,0.21,2,2.0,3,0.75,18,3,0.67,19,0,3,0.75,29.26,13.5,5332.5,0.13,79,0.07,296.25,395.0,0.75,1,2,16,0.18,27,52,16,16,22,0.0,19,N
9,7,10,0,4,12,4,0.11,6,2.0,4,1.0,32,4,1.0,37,0,4,1.0,69.01,16.93,19777.28,0.39,207,0.06,1098.74,1168.28,1.0,3,6,30,0.08,79,128,35,15,51,9.76,37,N
24,45,36,1,8,58,25,0.21,24,2.42,23,0.92,150,8,0.29,117,0,23,0.92,142.73,32.85,154013.92,1.56,680,0.03,8556.33,4688.48,0.32,17,29,127,0.17,235,445,93,26,151,7.14,118,N
0,8,6,0,1,8,5,0.28,4,2.0,3,0.6,22,3,0.5,18,1,3,0.6,33.38,14.25,6778.53,0.16,90,0.07,376.58,475.69,0.6,2,4,19,0.25,30,60,20,19,20,5.26,18,N
5,8,8,0,2,8,5,0.22,4,2.0,5,1.0,28,1,0.0,23,0,5,1.0,55.49,8.48,3988.71,0.16,91,0.12,221.59,470.46,0.2,2,4,25,0.16,30,61,23,13,31,8.0,23,Y
2,6,4,0,0,4,4,0.25,2,2.0,3,0.75,16,1,0.0,16,0,2,0.5,25.41,14.0,4980.42,0.12,74,0.07,276.69,355.74,0.25,1,2,14,0.21,28,46,14,14,19,0.0,16,Y
1,5,9,0,0,8,3,0.2,4,2.0,3,1.0,19,1,0.0,15,2,3,1.0,43.46,11.14,5396.06,0.16,96,0.09,299.78,484.26,0.33,2,4,18,0.17,39,57,21,12,18,0.0,15,Y
2,10,9,0,0,12,6,0.18,6,2.0,5,0.83,30,3,0.4,33,0,4,0.67,45.02,14.88,9961.7,0.22,125,0.07,553.43,669.69,0.5,3,6,26,0.16,42,83,24,17,37,0.0,33,N
0,3,3,0,0,6,2,0.5,2,3.0,2,1.0,9,1,0.0,4,1,2,1.0,19.99,5.33,568.57,0.04,28,0.19,31.59,106.61,0.5,2,3,9,0.4,8,20,6,8,5,0.0,4,N
5,23,9,0,0,34,12,0.43,12,2.83,10,0.83,57,7,0.55,28,3,11,0.92,47.44,22.67,24374.21,0.36,186,0.04,1354.12,1075.33,0.58,11,17,47,0.34,68,118,33,22,35,0.0,28,N
1,3,5,0,1,4,2,0.22,2,2.0,2,1.0,12,1,0.0,9,0,2,1.0,25.29,11.85,3548.61,0.1,63,0.08,197.14,299.56,0.5,1,2,12,0.17,22,41,13,14,12,10.0,9,N
1,3,3,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,1,1,0.5,18.67,7.71,1110.86,0.05,36,0.13,61.71,144.0,0.5,1,2,9,0.2,12,24,7,9,10,0.0,8,N
0,3,2,0,0,4,2,0.22,2,2.0,2,1.0,9,1,0.0,9,2,2,1.0,18.62,14.88,4118.96,0.09,57,0.07,228.83,276.9,0.5,1,2,9,0.18,21,36,12,17,11,0.0,9,N
1,7,4,0,0,8,4,0.5,2,4.0,3,0.75,14,1,0.0,8,2,4,1.0,15.19,14.0,2976.5,0.07,47,0.07,165.36,212.61,0.25,3,4,12,0.4,18,29,9,14,10,0.0,8,N
18,13,19,0,10,24,7,0.12,12,2.0,7,1.0,73,1,0.0,57,1,7,1.0,88.41,27.8,68305.52,0.82,397,0.04,3794.75,2457.36,0.14,6,12,68,0.08,158,239,54,19,86,14.93,57,N
3,15,9,1,4,4,10,0.23,2,2.0,8,0.8,45,1,0.0,42,0,7,0.7,58.91,16.11,15290.22,0.32,176,0.06,849.46,949.05,0.1,1,2,37,0.19,58,118,27,15,52,10.64,43,N
5,11,6,0,0,18,6,0.26,8,2.25,4,0.67,27,1,0.0,23,2,6,1.0,22.86,24.7,13948.3,0.19,111,0.04,774.91,564.71,0.17,5,9,23,0.21,39,72,15,19,29,0.0,23,N
0,7,2,0,0,4,5,0.22,2,2.0,4,0.8,19,3,0.5,23,0,4,0.8,29.4,14.39,6090.84,0.14,89,0.07,338.38,423.18,0.6,1,2,16,0.21,31,58,14,13,24,0.0,23,N
0,7,6,0,0,10,4,0.29,4,2.5,2,0.5,20,3,0.67,14,1,2,0.5,34.38,9.75,3268.21,0.11,69,0.1,181.57,335.2,0.75,3,5,18,0.27,24,45,16,13,15,0.0,14,N
0,3,7,0,0,4,2,0.17,2,2.0,2,1.0,16,1,0.0,12,0,2,1.0,31.49,14.0,6172.93,0.15,89,0.07,342.94,440.92,0.5,1,2,16,0.15,34,55,17,14,13,0.0,12,N
5,11,8,0,1,18,6,0.3,8,2.25,6,1.0,41,5,0.8,20,2,6,1.0,46.13,20.69,19748.29,0.32,170,0.05,1097.13,954.5,0.83,5,9,37,0.21,60,110,29,20,28,4.76,20,N
2,3,2,0,0,6,2,0.33,2,3.0,2,1.0,7,1,0.0,6,0,2,1.0,17.23,8.67,1294.27,0.05,34,0.12,71.9,149.34,0.5,2,3,7,0.22,13,21,9,12,9,0.0,6,N
2,7,7,0,0,12,4,0.18,6,2.0,4,1.0,23,3,0.67,22,1,3,0.75,28.83,15.47,6896.24,0.15,90,0.06,383.12,445.88,0.75,3,6,21,0.16,29,61,15,16,25,0.0,22,N
2,7,6,0,5,12,4,0.33,6,2.0,4,1.0,19,1,0.0,12,1,3,0.75,28.84,11.5,3814.64,0.11,69,0.09,211.92,331.71,0.25,3,6,17,0.19,23,46,14,14,21,29.41,12,Y
